,states,date,parsed_date
0,Alabama,April 4 at 5 p.m.,2020-04-04
1,Alaska,March 28 at 5 p.m.,2020-03-28
2,Arizona,March 31 at 5 p.m.,2020-03-31
3,California,March 19,2020-03-19
4,Colorado,March 26 at 6 a.m.,2020-03-26
5,Connecticut,March 23 at 8 p.m.,2020-03-23
6,Delaware,March 24 at 8 a.m.,2020-03-24
7,District of Columbia,April 1 at 12:01 a.m.,2020-04-01
8,Florida,April 3 at 12:01 a.m.,2020-04-03
9,Georgia,April 3,2020-04-03
10,Hawaii,March 25 at 12:01 a.m.,2020-03-25
11,Idaho,March 25 at 1:30 p.m.,2020-03-25
12,Illinois,March 21 at 5 p.m.,2020-03-21
13,Indiana,March 24 at 11:59 p.m.,2020-03-24
14,Kansas,March 30 at 12:01 a.m.,2020-03-30
15,Kentucky,March 26 at 8 p.m.,2020-03-26
16,Louisiana,March 23 at 5 p.m.,2020-03-23
17,Maine,April 2 at 12:01 a.m.,2020-04-02
18,Maryland,March 30 at 8 p.m.,2020-03-30
19,Massachusetts,March 24 at 12 p.m.,2020-03-24
20,Michigan,March 24 at 12:01 a.m.,2020-03-24
21,Minnesota,March 27 at 11:59 p.m.,2020-03-27
22,Mississippi,April 3 at 5 p.m.,2020-04-03
23,Missouri,April 6 at 12:01 a.m.,2020-04-06
24,Montana,March 28 at 12:01 a.m.,2020-03-28
25,Nevada,April 1,2020-04-01
26,New Hampshire,March 27 at 11:59 p.m.,2020-03-27
27,New Jersey,March 21 at 9 p.m.,2020-03-21
28,New Mexico,March 24 at 8 a.m.,2020-03-24
29,New York,March 22 at 8 p.m.,2020-03-22
30,North Carolina,March 30 at 5 p.m.,2020-03-30
31,Ohio,March 23 at 11:59 pm.,2020-03-23
32,Oklahoma,April 6 at 11:59 p.m.,2020-04-06
33,Oregon,March 23,2020-03-23
34,Pennsylvania,April 1 at 8 p.m.,2020-04-01
35,Puerto Rico,March 15 at 6 p.m.,2020-03-15
36,Rhode Island,March 28,2020-03-28
37,South Carolina,April 7 at 5 p.m.,2020-04-07
38,Tennessee,March 31 at 11:59 p.m.,2020-03-31
39,Texas,April 2 at 12:01 a.m.,2020-04-02
40,Utah,April 1 at 11:59 p.m.,2020-04-01
41,Vermont,March 25 at 5 p.m.,2020-03-25
42,Virginia,March 30,2020-03-30
43,Washington,March 23,2020-03-23
44,West Virginia,March 24 at 8 p.m.,2020-03-24
45,Wisconsin,March 25 at 8 a.m.,2020-03-25
46,Wyoming,March 28,2020-03-28
47,Arkansas,,
48,Iowa,,
49,Nebraska,,
50,North Dakota,,
51,South Dakota,,
